counseling_spending,propertyrate,unemploy,male,lessthanhighschoolgraduate,school_spending,school_age_pop
27.739999771118164,3881.8505859375,4.5,0.47999998927116394,0.20000000298023224,3320100096,0.12890861928462982
30.1299991607666,3915.527099609375,4,0.49000000953674316,0.20000000298023224,3307312128,0.1327173411846161
36.689998626708984,3939.403076171875,4,0.47999998927116394,0.20000000298023224,3382763520,0.13499721884727478
40.56999969482422,4035.771240234375,5.699999809265137,0.49000000953674316,0.18000000715255737,3813406208,0.13701646029949188
40.029998779296875,3741.263427734375,11,0.47999998927116394,0.18000000715255737,4095268352,0.13783951103687286
42.5,3527.669921875,10.5,0.49000000953674316,0.18000000715255737,5000999936,0.13749906420707703
46.20000076293945,3606.89306640625,9.600000381469727,0.47999998927116394,0.17000000178813934,4563995648,0.14029283821582794
49.369998931884766,3505.522705078125,8,0.49000000953674316,0.1599999964237213,5022565888,0.14524173736572266
53.84000015258789,3347.851318359375,7.199999809265137,0.47999998927116394,0.1599999964237213,4992246784,0.14927172660827637
207.83999633789062,3594.743896484375,6.900000095367432,0.5099999904632568,0.09000000357627869,830700032,0.06569179147481918
221.94000244140625,3550.263427734375,6.599999904632568,0.5199999809265137,0.10000000149011612,857793664,0.06571868062019348
238.19000244140625,3394.972900390625,6.300000190734863,0.5199999809265137,0.10000000149011612,873492416,0.06888443976640701
228.1300048828125,2922.373046875,6.699999809265137,0.5199999809265137,0.07999999821186066,928919296,0.07054567337036133
238.5,2938.638916015625,7.699999809265137,0.5199999809265137,0.09000000357627869,1044470400,0.0743665099143982
259.79998779296875,2837.96728515625,7.900000095367432,NA,NA,1160000000,NA
337.9200134277344,2642.5048828125,7.599999904632568,NA,NA,1318877184,NA
296.760009765625,2740.736083984375,7.099999904632568,NA,NA,1420130176,NA
307.3500061035156,2877.008056640625,6.900000095367432,0.5299999713897705,0.07999999821186066,1404837248,0.08921390771865845
119.4800033569336,4921.06884765625,4.699999809265137,0.5,0.1599999964237213,4478400000,0.12614361941814423
132.9199981689453,4882.7685546875,4.199999809265137,0.5,0.1599999964237213,5015504896,0.12807497382164001
136.1999969482422,4658.2822265625,3.9000000953674316,0.5,0.17000000178813934,5596434432,0.12923294305801392
155.97000122070312,4245.822265625,6.199999809265137,0.5,0.1599999964237213,6481704960,0.13293355703353882
178.30999755859375,3731.9130859375,9.899999618530273,0.5,0.1599999964237213,7444064768,0.13145969808101654
207.60000610351562,3537.149658203125,10.399999618530273,0.5,0.14000000059604645,7920000000,0.13826493918895721
207.5800018310547,3551.687255859375,9.5,0.5,0.14000000059604645,7400766976,0.14240683615207672
206.3300018310547,3534.05517578125,8.300000190734863,0.5,0.14000000059604645,7477527552,0.14818376302719116
205.22000122070312,3365.397216796875,7.699999809265137,0.5,0.14000000059604645,7849995264,0.15373197197914124
20.520000457763672,4060.052490234375,5.199999809265137,0.49000000953674316,0.1899999976158142,2451599872,0.13461050391197205
22.920000076293945,3970.03857421875,5.199999809265137,0.49000000953674316,0.20000000298023224,2549348096,0.13834141194820404
23.760000228881836,3936.25048828125,5.300000190734863,0.49000000953674316,0.1899999976158142,2834335744,0.14037548005580902
24.780000686645508,3839.204345703125,5.5,0.49000000953674316,0.18000000715255737,3078957824,0.1415533423423767
25.280000686645508,3765.409423828125,7.800000190734863,0.49000000953674316,0.18000000715255737,3331093504,0.1427891105413437
25.299999237060547,3552.684814453125,8.199999809265137,0.49000000953674316,0.17000000178813934,3732999936,0.14378222823143005
NA,3758.12939453125,8.300000190734863,0.49000000953674316,0.1599999964237213,3940132608,0.14589110016822815
27.3700008392334,3708.981689453125,7.599999904632568,0.49000000953674316,0.15000000596046448,4137221376,0.14957185089588165
27.459999084472656,3598.697509765625,7.300000190734863,0.49000000953674316,0.1599999964237213,4319206912,0.1532561182975769
86.44000244140625,3350.8232421875,5.400000095367432,0.5,0.20000000298023224,28683900928,0.1049102395772934
90.12000274658203,3220.292236328125,4.900000095367432,0.5,0.20000000298023224,29413634048,0.10773708671331406
101.31999969482422,3068.966796875,5.400000095367432,0.5,0.20000000298023224,32093956096,0.10945545881986618
115.0999984741211,2953.19091796875,7.300000190734863,0.5,0.20000000298023224,36043251712,0.11197490245103836
120.18000030517578,2731.05908203125,11.199999809265137,0.5,0.1899999976158142,38328721408,0.11209535598754883
120.4000015258789,2630.005126953125,12.199999809265137,0.5,0.1899999976158142,41771999232,0.11431238800287247
129.8300018310547,2582.951904296875,11.699999809265137,0.5,0.1899999976158142,46025613312,0.11668426543474197
140.75,2757.19482421875,10.399999618530273,0.5,0.1899999976158142,53645971456,0.120904840528965
134.92999267578125,2651.236083984375,8.899999618530273,0.5,0.18000000715255737,59552280576,0.125066339969635
48.83000183105469,4068.513671875,5,0.5,0.10999999940395355,2429100032,0.09707876294851303
48.06999969482422,3462.38037109375,4.300000190734863,0.5,0.11999999731779099,2475400192,0.10032551735639572
52.65999984741211,3035.220703125,3.700000047683716,0.5,0.10999999940395355,2704119552,0.10148955881595612
58.63999938964844,2849.64599609375,4.800000190734863,0.5,0.10999999940395355,3019728128,0.10368874669075012
62.45000076293945,2698.9287109375,7.300000190734863,0.5,0.10999999940395355,3358631424,0.10626224428415298
65.30000305175781,2674.041748046875,8.699999809265137,0.5,0.10000000149011612,3952000000,0.1092553436756134
71.55999755859375,2593.550537109375,8.399999618530273,0.5,0.10000000149011612,4328886784,0.11247213929891586
77.80000305175781,2684.18359375,7.900000095367432,0.5,0.09000000357627869,4837285888,0.1177695095539093
